;author;text;date;rating;StyleID
0;Unkown;Die sind okay und dann für den Preis. ;2019-01-28 15:05:07;5;1709054
1;Unkown;Qualität und Preis sind gut. Leider sind sie zu groß.  Die Größen fallen immer unterschiedlich aus, sodaß es bei dem einen Shirt paßt und bei dem anderen nicht. Schade;2019-01-28 15:05:07;3;1709054
2;Unkown;lässt schlanker aussehen;2019-01-28 15:05:07;5;8623725
3;Unkown;Material und Farbe gut. Da einige Kundinnen in der Bewertung über relative Enge geklagt hatten, wählte ich eine Konfektionsgröße höher(44). Leider war der Badeanzug um den Po herum zu weit, kein schöner Abschluss. Ich habe ihn zurück geschickt.;2019-01-28 15:05:07;3;8623725
4;Unkown;Material ist schön zum verdunkel.  Leider doch zu kurz für mein Fenster. Schade.;2019-01-28 15:05:07;5;9743730
5;Unkown;Tolle Qualität , immer wieder gerne;2019-01-28 15:05:07;5;1709054
6;Unkown;der BH gefällt mir sehr gut beim joggen rutschen keine Träger runter, super!!;2019-01-28 15:05:07;5;655046
7;Unkown;Sehr bequem ;2019-01-28 15:05:07;5;553018
8;Unkown;Material gut Farbe und aussehen der Hose auch;2019-01-28 15:05:07;4;434886
9;Unkown;Trage doch lieber ohne Bügel. Bin auch der Meinung das die BH etwas klein ausfallen.;2019-01-28 15:05:07;3;654563
10;Unkown;Angenehmer Stoff. Füllt sich gut auf der Haut an. ;2019-01-28 15:05:07;5;709229
11;Unkown;Sehr schõne Farbe und gute Qualität ;2019-01-28 15:05:07;5;553018
12;Unkown;Schnitt nicht vorteilhaft darum zurück ;2019-01-28 15:05:07;2;709229
13;Unkown;Der Vorhang entspricht voll und ganz meinen Vorstellungen. Er fällt schön und wirkt in beige sehr edel. Die Verdunklung funktioniert sehr gut, so das für mich der etwas hohe Preis gerechtfertigt ist.;2019-01-28 15:05:07;5;9743730
14;Unkown;Hatte ich passend zum BH gekauft. Ganz furchtbar: viel zu eng, viel zu klein. Habe ich so bei bonprix noch nicht erlebt.;2019-01-28 15:05:07;1;515928
15;Unkown;Sehr zufrieden;2019-01-28 15:05:07;5;515928
16;Unkown;Sehr schöner und bequemer Slip für das Geld. Mit dem passenden BH eine sehr schöne Garnitur. Würde ich wieder kaufen.;2019-01-28 15:05:07;5;515928
17;Unkown;Bon Brix hat immer das passende für mich,das finde ich einfach genial.;2019-01-28 15:05:07;5;709229
18;Unkown;Material und Farbe super;2019-01-28 15:05:07;4;655046
19;Unkown;Material und Farbe super;2019-01-28 15:05:07;4;655046
20;Unkown;Material, Größe (Paßform), Bezahlmöglichkeiten, Lieferung, alles sehr gut. Angenehmes Material;2019-01-28 15:05:07;5;515928
21;Unkown;Material, Größe (Paßform), Farbkombinationen, Bezahlmöglichkeiten, Lieferung, alles sehr gut. Angenehmes Material;2019-01-28 15:05:07;5;1709054
22;Unkown;gutes elastisches Material , passt sehr gut;2019-01-28 15:05:07;5;515928
23;Unkown;Sehr gute Qualität ;2019-01-28 15:05:07;5;655046
